City,Furnishing,BHK,Property_Type,Price_Lac
Trivandrum,Unfurnished,3,Flat,79.0
Trivandrum,Unfurnished,3,Flat,74.9
Trivandrum,Unfurnished,2,Flat,57.9
Trivandrum,Unfurnished,2,Flat,58.4
Trivandrum,Unfurnished,2,Flat,55.4
Trivandrum,Unfurnished,2,Flat,58.7
Trivandrum,Unfurnished,3,Flat,68.3
Trivandrum,Unfurnished,3,Flat,78.4
Trivandrum,Unfurnished,3,Flat,81.5
Trivandrum,Unfurnished,2,Flat,59.1
Trivandrum,Unfurnished,2,Flat,56.1
Trivandrum,Unfurnished,2,Flat,53.8
Trivandrum,Unfurnished,4,Villa,225.0
Trivandrum,Unfurnished,3,Villa,180.0
Trivandrum,Unfurnished,3,Villa,141.0
Trivandrum,Unfurnished,2,Flat,60.7
Trivandrum,Unfurnished,2,Flat,63.6
Mumbai,Semi-Furnished,1,Flat,83.0
Mumbai,Semi-Furnished,1,Flat,82.6
Mumbai,Unfurnished,1,Flat,119.0
Mumbai,Unfurnished,1,Flat,184.0
Mumbai,Unfurnished,1,Flat,124.0
Mumbai,Unfurnished,1,Flat,198.0
Mumbai,Unfurnished,1,Flat,198.0
Mumbai,Unfurnished,1,Flat,115.0
Mumbai,Unfurnished,1,Flat,212.0
Mumbai,Unfurnished,1,Flat,53.0
Mumbai,Unfurnished,1,Flat,117.0
Mumbai,Unfurnished,1,Flat,130.0
Mumbai,Unfurnished,1,Flat,63.0
Mumbai,Unfurnished,1,Flat,119.0
Mumbai,Unfurnished,1,Flat,81.0
Mumbai,Unfurnished,1,Flat,125.0
Mumbai,Unfurnished,1,Flat,104.0
Mumbai,Unfurnished,1,Flat,56.5
Mumbai,Unfurnished,1,Flat,111.0
Mumbai,Unfurnished,1,Flat,198.0
Mumbai,Unfurnished,1,Flat,112.0
Mumbai,Unfurnished,1,Flat,150.0
Mumbai,Unfurnished,1,Flat,198.0
Mumbai,Unfurnished,1,Flat,63.0
Mumbai,Unfurnished,1,Flat,140.0
Mumbai,Unfurnished,1,Flat,142.0
Mumbai,Unfurnished,1,Flat,102.0
Mumbai,Unfurnished,1,Flat,138.0
Mumbai,Unfurnished,1,Flat,99.5
Mumbai,Unfurnished,1,Flat,112.0
Bangalore,Unfurnished,1,Flat,92.0
Bangalore,Unfurnished,1,Flat,92.7
Bangalore,Unfurnished,1,Flat,72.8
Bangalore,Unfurnished,1,Flat,92.7
Bangalore,Unfurnished,1,Flat,96.3
Bangalore,Unfurnished,1,Flat,87.7
Bangalore,Unfurnished,1,Flat,82.1
Bangalore,Unfurnished,1,Flat,78.7
Bangalore,Unfurnished,1,Flat,92.0
Bangalore,Unfurnished,1,Flat,75.8
Bangalore,Unfurnished,1,Flat,66.0
Bangalore,Unfurnished,1,Flat,72.8
Bangalore,Unfurnished,1,Flat,110.0
Bangalore,Unfurnished,1,Flat,72.8
Bangalore,Unfurnished,1,Flat,110.0
Bangalore,Unfurnished,1,Flat,75.8
Bangalore,Unfurnished,1,Flat,92.0
Bangalore,Unfurnished,1,Flat,94.0
Bangalore,Unfurnished,1,Flat,71.5
Bangalore,Unfurnished,1,Flat,62.1
Bangalore,Unfurnished,1,Flat,55.0
Bangalore,Semi-Furnished,1,Flat,55.0
Bangalore,Unfurnished,1,Flat,84.9
Bangalore,Unfurnished,1,Flat,30.8
Bangalore,Unfurnished,1,Villa,60.9
Bangalore,Unfurnished,1,Flat,87.3
Bangalore,Semi-Furnished,1,Flat,85.0
Bangalore,Semi-Furnished,1,Flat,55.0
Bangalore,Unfurnished,1,Flat,65.0
Bangalore,Unfurnished,1,Flat,76.0
Kolkata,Unfurnished,1,Flat,43.7
Kolkata,Unfurnished,1,Flat,16.5
Kolkata,Unfurnished,1,Flat,24.5
Kolkata,Unfurnished,1,Flat,136.0
Kolkata,Unfurnished,1,Flat,26.8
Kolkata,Unfurnished,1,Flat,35.9
Kolkata,Unfurnished,1,Flat,26.8
Kolkata,Unfurnished,1,Flat,62.1
Kolkata,Unfurnished,1,Flat,30.0
Kolkata,Unfurnished,1,Flat,35.0
Kolkata,Unfurnished,1,Flat,22.0
Kolkata,Unfurnished,1,Flat,27.0
Kolkata,Unfurnished,1,Flat,27.0
Kolkata,Unfurnished,1,Flat,26.0
Kolkata,Unfurnished,1,Flat,22.0
Kolkata,Unfurnished,1,Flat,30.0
Kolkata,Unfurnished,1,Flat,20.2
Kolkata,Unfurnished,1,Flat,42.8
Kolkata,Unfurnished,1,Flat,25.9
Kolkata,Unfurnished,1,Flat,19.9
Kolkata,Unfurnished,1,Flat,25.9
Kolkata,Unfurnished,1,Flat,25.9
Kolkata,Semi-Furnished,1,Flat,19.0
Kolkata,Furnished,1,Flat,17.8
Kolkata,Unfurnished,1,Flat,110.0
Kolkata,Semi-Furnished,1,Flat,20.0
Kolkata,Unfurnished,1,Flat,21.0
Kolkata,Furnished,1,Flat,18.5
Kolkata,Semi-Furnished,1,Flat,24.0
Gurgaon,Unfurnished,1,Flat,224.0
Gurgaon,Unfurnished,1,Villa,1071.0
Gurgaon,Semi-Furnished,1,Flat,249.0
Gurgaon,Semi-Furnished,1,Flat,163.0
Gurgaon,Furnished,1,Flat,100.0
Gurgaon,Semi-Furnished,1,Flat,168.0
Gurgaon,Unfurnished,1,Flat,34.0
Gurgaon,Semi-Furnished,1,Flat,260.0
Gurgaon,Unfurnished,1,Flat,27.0
Gurgaon,Unfurnished,1,Flat,162.0
Gurgaon,Semi-Furnished,1,Flat,220.0
Gurgaon,Semi-Furnished,1,Flat,220.0
Gurgaon,Furnished,1,Flat,65.0
Gurgaon,Semi-Furnished,1,Flat,170.0
Gurgaon,Semi-Furnished,1,Flat,70.0
Gurgaon,Unfurnished,1,Flat,37.0
Gurgaon,Furnished,1,Flat,45.0
Gurgaon,Unfurnished,1,Villa,1625.0
Gurgaon,Furnished,1,Flat,230.0
Gurgaon,Semi-Furnished,1,Flat,79.5
Gurgaon,Furnished,1,Flat,130.0
Gurgaon,Semi-Furnished,1,Flat,50.0
Gurgaon,Semi-Furnished,1,Flat,95.0
Gurgaon,Unfurnished,1,House,375.0
Gurgaon,Furnished,1,Flat,29.0
Gurgaon,Furnished,1,Flat,180.0
Gurgaon,Unfurnished,1,Flat,36.0
Gurgaon,Furnished,1,Flat,352.0
Gurgaon,Furnished,1,Flat,128.0
Gurgaon,Semi-Furnished,1,Flat,50.0
Chennai,Unfurnished,1,Flat,39.8
Chennai,Semi-Furnished,1,Flat,33.3
Chennai,Furnished,1,Flat,70.0
Chennai,Unfurnished,1,Flat,38.4
Chennai,Unfurnished,1,Flat,29.1
Chennai,Unfurnished,1,Flat,31.8
Chennai,Unfurnished,1,Villa,45.0
Chennai,Unfurnished,1,Flat,78.0
Chennai,Unfurnished,1,Flat,32.0
Chennai,Unfurnished,1,Flat,39.0
Chennai,Unfurnished,1,Flat,28.0
Chennai,Unfurnished,1,Flat,44.0
Chennai,Unfurnished,1,Flat,52.8
Chennai,Unfurnished,1,Flat,47.0
Chennai,Unfurnished,1,Flat,19.5
Chennai,Semi-Furnished,1,Flat,62.8
Chennai,Semi-Furnished,1,Flat,35.0
Chennai,Unfurnished,1,Flat,41.5
Chennai,Semi-Furnished,1,House,32.0
Chennai,Semi-Furnished,1,Flat,36.0
Chennai,Unfurnished,1,Flat,55.0
Chennai,Unfurnished,1,Flat,28.0
Chennai,Unfurnished,1,Villa,30.0
Chennai,Unfurnished,1,Flat,55.0
Chennai,Unfurnished,1,Flat,32.0
Chennai,Unfurnished,1,House,50.0
Chennai,Semi-Furnished,1,Flat,45.0
Chennai,Semi-Furnished,1,Flat,30.0
Chennai,Unfurnished,1,Flat,118.0
Chennai,Unfurnished,1,Flat,29.6
Hyderabad,Unfurnished,1,Flat,28.0
Hyderabad,Unfurnished,1,Flat,54.8
Hyderabad,Unfurnished,1,Flat,36.0
Hyderabad,Furnished,1,Flat,32.0
Hyderabad,Semi-Furnished,1,Flat,37.0
Hyderabad,Unfurnished,1,House,49.0
Hyderabad,Furnished,1,Flat,30.0
Hyderabad,Unfurnished,1,House,426.0
Hyderabad,Unfurnished,1,Flat,39.0
Hyderabad,Semi-Furnished,1,Flat,29.0
Hyderabad,Furnished,1,Flat,34.0
Hyderabad,Furnished,1,Flat,37.0
Hyderabad,Unfurnished,1,Flat,35.0
Hyderabad,Unfurnished,1,Flat,30.0
Hyderabad,Unfurnished,1,Flat,32.0
Hyderabad,Furnished,1,Flat,26.0
Hyderabad,Unfurnished,1,Flat,25.0
Hyderabad,Unfurnished,1,Flat,30.0
Hyderabad,Unfurnished,1,Flat,30.0
Hyderabad,Unfurnished,1,Flat,26.0
Hyderabad,Semi-Furnished,1,Flat,24.0
Hyderabad,Unfurnished,1,House,364.0
Hyderabad,Unfurnished,1,House,30.0
Hyderabad,Semi-Furnished,1,Flat,27.0
Hyderabad,Semi-Furnished,1,Flat,35.0
Hyderabad,Unfurnished,1,Flat,34.0
Hyderabad,Semi-Furnished,1,House,55.0
Hyderabad,Unfurnished,1,Flat,52.0
Hyderabad,Unfurnished,1,House,21.0
Hyderabad,Unfurnished,1,House,60.0
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,58.2
Pune,Unfurnished,1,Flat,70.4
Pune,Unfurnished,1,Flat,58.2
Pune,Unfurnished,1,Flat,67.0
Pune,Unfurnished,1,Flat,71.6
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,59.3
Pune,Unfurnished,1,Flat,38.0
Pune,Unfurnished,1,Flat,60.6
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,50.7
Pune,Unfurnished,1,Flat,70.4
Pune,Unfurnished,1,Flat,58.2
Pune,Unfurnished,1,Flat,38.0
Pune,Unfurnished,1,Flat,49.0
Pune,Unfurnished,1,Flat,67.7
Pune,Unfurnished,1,Flat,71.6
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,63.8
Pune,Unfurnished,1,Flat,62.4
Pune,Unfurnished,1,Flat,62.4
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,54.0
Pune,Unfurnished,1,Flat,72.9
Pune,Unfurnished,1,Flat,75.3
Pune,Unfurnished,1,Flat,67.7
Pune,Unfurnished,1,Flat,50.7
Kozhikode,Unfurnished,2,Flat,95.0
Kozhikode,Unfurnished,2,Flat,43.5
Kozhikode,Semi-Furnished,2,Flat,95.0
Kozhikode,Unfurnished,2,Flat,60.0
Kozhikode,Furnished,2,Flat,52.0
Kozhikode,Semi-Furnished,2,Flat,95.0
Kozhikode,Furnished,2,Flat,54.5
Kozhikode,Unfurnished,2,House,36.0
Kozhikode,Furnished,2,House,130.0
Kozhikode,Semi-Furnished,2,House,13.0
Kozhikode,Furnished,2,Flat,115.0
Kozhikode,Unfurnished,2,Flat,80.0
Kozhikode,Unfurnished,2,House,35.0
Kozhikode,Semi-Furnished,2,House,92.0
Kozhikode,Semi-Furnished,2,House,95.0
Kozhikode,Unfurnished,2,House,28.0
Kozhikode,Furnished,2,Flat,100.0
Kozhikode,Unfurnished,2,House,40.0
Kozhikode,Unfurnished,2,Flat,46.0
Kozhikode,Unfurnished,2,Flat,49.0
Kozhikode,Unfurnished,2,Flat,1.7
Kozhikode,Semi-Furnished,2,House,28.0
Kozhikode,Semi-Furnished,2,Flat,48.0
Kozhikode,Furnished,2,Flat,54.5
Kozhikode,Unfurnished,2,House,40.0
Kozhikode,Furnished,2,Flat,64.5
Kochi,Unfurnished,2,Flat,52.8
Kochi,Unfurnished,2,Flat,94.0
Kochi,Unfurnished,2,Flat,85.0
Kochi,Unfurnished,2,Flat,72.0
Kochi,Unfurnished,2,Flat,70.1
Kochi,Furnished,2,Flat,42.0
Kochi,Unfurnished,2,Flat,85.0
Kochi,Unfurnished,2,Flat,82.0
Kochi,Unfurnished,2,Flat,70.0
Kochi,Furnished,2,Flat,75.0
Kochi,Semi-Furnished,2,Flat,60.0
Kochi,Unfurnished,2,Flat,115.0
Kochi,Semi-Furnished,2,Flat,65.0
Kochi,Semi-Furnished,2,Flat,45.0
Kochi,Semi-Furnished,2,Flat,51.5
Kochi,Semi-Furnished,2,Flat,38.0
Kochi,Unfurnished,2,Flat,64.0
Kochi,Unfurnished,2,Flat,40.0
Kochi,Unfurnished,2,Flat,45.0
Kochi,Semi-Furnished,2,Flat,45.0
Kochi,Unfurnished,2,Flat,85.0
Kochi,Unfurnished,2,Flat,85.0
Kochi,Semi-Furnished,2,Flat,41.0
Kochi,Unfurnished,2,Flat,55.0
Kochi,Semi-Furnished,2,Flat,58.0
Kochi,Semi-Furnished,2,Flat,55.0
Kochi,Unfurnished,2,Flat,79.3
Kochi,Unfurnished,2,Flat,69.0
Kochi,Unfurnished,2,Flat,68.0
Kochi,Unfurnished,2,Flat,80.0
Trivandrum,Unfurnished,2,Flat,53.1
Trivandrum,Furnished,2,Flat,34.0
Trivandrum,Semi-Furnished,2,Flat,62.0
Trivandrum,Semi-Furnished,2,Flat,68.0
Trivandrum,Semi-Furnished,2,Flat,49.0
Trivandrum,Semi-Furnished,2,Flat,85.0
Trivandrum,Unfurnished,2,Flat,75.0
Trivandrum,Semi-Furnished,2,Flat,44.0
Trivandrum,Semi-Furnished,2,Flat,90.0
Trivandrum,Unfurnished,2,Flat,78.0
Trivandrum,Unfurnished,2,Flat,84.8
Trivandrum,Semi-Furnished,2,Flat,60.0
Trivandrum,Unfurnished,2,Flat,72.0
Trivandrum,Furnished,2,Flat,53.0
Trivandrum,Unfurnished,2,Flat,73.0
Trivandrum,Semi-Furnished,2,Flat,25.0
Trivandrum,Unfurnished,2,House,70.0
Trivandrum,Unfurnished,2,Flat,49.0
Trivandrum,Semi-Furnished,2,House,145.0
Trivandrum,Unfurnished,2,Flat,60.4
Trivandrum,Unfurnished,2,Flat,81.8
Trivandrum,Unfurnished,2,Flat,83.3
Trivandrum,Unfurnished,2,House,152.0
Trivandrum,Semi-Furnished,2,Flat,85.0
Trivandrum,Semi-Furnished,2,Flat,72.0
Trivandrum,Unfurnished,2,House,165.0
Trivandrum,Semi-Furnished,2,Flat,45.0
Trivandrum,Unfurnished,2,House,30.0
Trivandrum,Unfurnished,2,Flat,76.0
Trivandrum,Furnished,2,Flat,70.0
Bangalore,Unfurnished,2,Flat,141.0
Bangalore,Unfurnished,2,Flat,97.0
Bangalore,Unfurnished,2,Flat,144.0
Bangalore,Unfurnished,2,Flat,127.0
Bangalore,Unfurnished,2,Flat,160.0
Bangalore,Unfurnished,2,Flat,100.0
Bangalore,Unfurnished,2,Flat,127.0
Bangalore,Unfurnished,2,Flat,141.0
Bangalore,Unfurnished,2,Flat,117.0
Bangalore,Unfurnished,2,Flat,186.0
Bangalore,Unfurnished,2,Flat,107.0
Bangalore,Unfurnished,2,Flat,124.0
Bangalore,Unfurnished,2,Flat,107.0
Bangalore,Unfurnished,2,Flat,103.0
Bangalore,Unfurnished,2,Flat,128.0
Bangalore,Unfurnished,2,Flat,145.0
Bangalore,Unfurnished,2,Flat,153.0
Bangalore,Unfurnished,2,Flat,149.0
Bangalore,Unfurnished,2,Flat,126.0
Bangalore,Unfurnished,2,Flat,125.0
Bangalore,Unfurnished,2,Flat,114.0
Bangalore,Unfurnished,2,Flat,96.6
Bangalore,Unfurnished,2,Flat,114.0
Bangalore,Unfurnished,2,Flat,100.0
Bangalore,Unfurnished,2,Flat,146.0
Bangalore,Unfurnished,2,Flat,147.0
Bangalore,Unfurnished,2,Flat,141.0
Bangalore,Unfurnished,2,Flat,124.0
Bangalore,Unfurnished,2,Flat,184.0
Bangalore,Unfurnished,2,Flat,104.0
Kolkata,Unfurnished,2,Flat,42.5
Kolkata,Unfurnished,2,Flat,90.9
Kolkata,Unfurnished,2,Flat,249.0
Kolkata,Unfurnished,2,Flat,59.1
Kolkata,Unfurnished,2,Flat,101.0
Kolkata,Unfurnished,2,Flat,57.2
Kolkata,Unfurnished,2,Flat,32.9
Kolkata,Unfurnished,2,Flat,46.0
Kolkata,Unfurnished,2,Flat,145.0
Kolkata,Unfurnished,2,Flat,43.7
Kolkata,Unfurnished,2,Flat,56.0
Kolkata,Unfurnished,2,Flat,64.0
Kolkata,Unfurnished,2,Flat,65.6
Kolkata,Unfurnished,2,Flat,77.0
Kolkata,Unfurnished,2,Flat,106.0
Kolkata,Unfurnished,2,Flat,46.0
Kolkata,Unfurnished,2,Flat,52.2
Kolkata,Unfurnished,2,Flat,53.4
Kolkata,Unfurnished,2,Flat,60.8
Kolkata,Unfurnished,2,Flat,54.0
Kolkata,Unfurnished,2,Flat,39.5
Kolkata,Unfurnished,2,Flat,41.1
Kolkata,Unfurnished,2,Flat,36.6
Kolkata,Unfurnished,2,Flat,35.7
Kolkata,Unfurnished,2,Flat,80.0
Kolkata,Unfurnished,2,Flat,32.0
Kolkata,Unfurnished,2,Flat,35.7
Kolkata,Unfurnished,2,Flat,52.1
Kolkata,Unfurnished,2,Flat,80.4
Kolkata,Unfurnished,2,Flat,59.6
Gurgaon,Unfurnished,2,Flat,408.0
Gurgaon,Unfurnished,2,Flat,251.0
Gurgaon,Unfurnished,2,Flat,198.0
Gurgaon,Unfurnished,2,Flat,232.0
Gurgaon,Unfurnished,2,Flat,175.0
Gurgaon,Unfurnished,2,Flat,251.0
Gurgaon,Unfurnished,2,Flat,143.0
Gurgaon,Unfurnished,2,Flat,147.0
Gurgaon,Unfurnished,2,Flat,255.0
Gurgaon,Unfurnished,2,Flat,167.0
Gurgaon,Unfurnished,2,Flat,239.0
Gurgaon,Unfurnished,2,Flat,233.0
Gurgaon,Unfurnished,2,Flat,305.0
Gurgaon,Unfurnished,2,Flat,448.0
Gurgaon,Unfurnished,2,Flat,162.0
Gurgaon,Unfurnished,2,Flat,248.0
Gurgaon,Unfurnished,2,Flat,162.0
Gurgaon,Unfurnished,2,Flat,405.0
Gurgaon,Unfurnished,2,Flat,575.0
Gurgaon,Unfurnished,2,Flat,471.0
Gurgaon,Unfurnished,2,Flat,305.0
Gurgaon,Unfurnished,2,Flat,264.0
Gurgaon,Unfurnished,2,Flat,198.0
Gurgaon,Unfurnished,2,Flat,265.0
Gurgaon,Unfurnished,2,Flat,162.0
Gurgaon,Unfurnished,2,Flat,198.0
Gurgaon,Unfurnished,2,Flat,321.0
Gurgaon,Unfurnished,2,Flat,154.0
Gurgaon,Unfurnished,2,Flat,471.0
Gurgaon,Unfurnished,2,Flat,143.0
Chennai,Unfurnished,2,Flat,114.0
Chennai,Unfurnished,2,Flat,60.6
Chennai,Unfurnished,2,Flat,82.8
Chennai,Semi-Furnished,2,Flat,82.9
Chennai,Furnished,2,Flat,120.0
Chennai,Unfurnished,2,Flat,78.9
Chennai,Unfurnished,2,Flat,71.2
Chennai,Unfurnished,2,Flat,135.0
Chennai,Unfurnished,2,Flat,233.0
Chennai,Unfurnished,2,Flat,29.0
Chennai,Furnished,2,Flat,121.0
Chennai,Unfurnished,2,Flat,148.0
Chennai,Unfurnished,2,Flat,55.3
Chennai,Unfurnished,2,Flat,74.2
Chennai,Unfurnished,2,Flat,97.0
Chennai,Unfurnished,2,Flat,92.0
Chennai,Unfurnished,2,Flat,72.5
Chennai,Unfurnished,2,Flat,55.3
Chennai,Unfurnished,2,Flat,46.8
Chennai,Unfurnished,2,Flat,91.0
Chennai,Unfurnished,2,Flat,82.8
Chennai,Unfurnished,2,Flat,226.0
Chennai,Unfurnished,2,Flat,46.0
Chennai,Unfurnished,2,Flat,57.2
Chennai,Unfurnished,2,Flat,64.0
Chennai,Unfurnished,2,Flat,66.8
Chennai,Unfurnished,2,Flat,39.4
Chennai,Unfurnished,2,Flat,99.0
Chennai,Unfurnished,2,Flat,60.3
Chennai,Unfurnished,2,Flat,51.8
Hyderabad,Unfurnished,2,Flat,115.0
Hyderabad,Unfurnished,2,Flat,114.0
Hyderabad,Unfurnished,2,Flat,75.0
Hyderabad,Unfurnished,2,Flat,76.8
Hyderabad,Unfurnished,2,Flat,67.0
Hyderabad,Unfurnished,2,Flat,70.0
Hyderabad,Unfurnished,2,Flat,50.4
Hyderabad,Unfurnished,2,Flat,73.1
Hyderabad,Unfurnished,2,Flat,92.6
Hyderabad,Unfurnished,2,Flat,65.3
Hyderabad,Unfurnished,2,Flat,160.0
Hyderabad,Unfurnished,2,Flat,61.1
Hyderabad,Unfurnished,2,Flat,59.4
Hyderabad,Unfurnished,2,Flat,75.9
Hyderabad,Unfurnished,2,Flat,104.0
Hyderabad,Unfurnished,2,Flat,72.0
Hyderabad,Unfurnished,2,Flat,87.7
Hyderabad,Unfurnished,2,Villa,295.0
Hyderabad,Semi-Furnished,2,Flat,76.5
Hyderabad,Unfurnished,2,Flat,97.5
Hyderabad,Unfurnished,2,Flat,52.5
Hyderabad,Unfurnished,2,Flat,87.5
Hyderabad,Unfurnished,2,Flat,69.9
Hyderabad,Unfurnished,2,Flat,53.8
Hyderabad,Semi-Furnished,2,Flat,79.5
Hyderabad,Unfurnished,2,Flat,76.0
Hyderabad,Unfurnished,2,Flat,72.7
Hyderabad,Unfurnished,2,Flat,83.1
Hyderabad,Semi-Furnished,2,Flat,92.4
Hyderabad,Unfurnished,2,Flat,75.3
Pune,Unfurnished,2,Flat,110.0
Pune,Unfurnished,2,Flat,96.4
Pune,Unfurnished,2,Flat,110.0
Pune,Unfurnished,2,Flat,80.6
Pune,Unfurnished,2,Flat,116.0
Pune,Unfurnished,2,Flat,100.0
Pune,Unfurnished,2,Flat,200.0
Pune,Unfurnished,2,Flat,88.5
Pune,Unfurnished,2,Flat,95.7
Pune,Unfurnished,2,Flat,55.1
Pune,Unfurnished,2,Flat,102.0
Pune,Unfurnished,2,Flat,170.0
Pune,Unfurnished,2,Flat,157.0
Pune,Unfurnished,2,Flat,110.0
Pune,Unfurnished,2,Flat,114.0
Pune,Unfurnished,2,Flat,85.6
Pune,Unfurnished,2,Flat,96.3
Pune,Unfurnished,2,Flat,111.0
Pune,Unfurnished,2,Flat,123.0
Pune,Unfurnished,2,Flat,81.5
Pune,Unfurnished,2,Flat,120.0
Pune,Unfurnished,2,Flat,120.0
Pune,Unfurnished,2,Flat,119.0
Pune,Unfurnished,2,Flat,175.0
Pune,Unfurnished,2,Flat,67.1
Pune,Unfurnished,2,Flat,93.2
Pune,Unfurnished,2,Flat,85.0
Pune,Unfurnished,2,Flat,231.0
Pune,Unfurnished,2,Flat,70.0
Pune,Unfurnished,2,Flat,112.0
Kozhikode,Unfurnished,3,Flat,109.0
Kozhikode,Furnished,3,House,200.0
Kozhikode,Unfurnished,3,Villa,65.0
Kozhikode,Unfurnished,3,House,165.0
Kozhikode,Furnished,3,Flat,300.0
Kozhikode,Furnished,3,Flat,90.0
Kozhikode,Unfurnished,3,House,94.9
Kozhikode,Unfurnished,3,Villa,39.0
Kozhikode,Unfurnished,3,Flat,128.0
Kozhikode,Semi-Furnished,3,Flat,55.0
Kozhikode,Furnished,3,Flat,96.0
Kozhikode,Furnished,3,Flat,55.0
Kozhikode,Furnished,3,Flat,110.0
Kozhikode,Furnished,3,House,220.0
Kozhikode,Unfurnished,3,House,82.0
Kozhikode,Semi-Furnished,3,Flat,45.0
Kozhikode,Unfurnished,3,Villa,87.0
Kozhikode,Unfurnished,3,Flat,85.0
Kozhikode,Furnished,3,Flat,300.0
Kozhikode,Unfurnished,3,Flat,95.0
Kozhikode,Furnished,3,House,62.0
Kozhikode,Unfurnished,3,Villa,72.0
Kozhikode,Unfurnished,3,Villa,80.0
Kozhikode,Semi-Furnished,3,Flat,125.0
Kozhikode,Unfurnished,3,House,100.0
Kochi,Unfurnished,3,Flat,217.0
Kochi,Unfurnished,3,Villa,110.0
